Date,Open,High,Low,Close,Adj Close,Volume,Name
2021-05-05,129.1999969482422,130.4499969482422,127.97000122070312,128.10000610351562,127.69147491455078,84000900,AAPL
2021-05-06,127.88999938964844,129.75,127.12999725341795,129.74000549316406,129.32623291015625,78128300,AAPL
2021-05-07,130.85000610351562,131.25999450683594,129.47999572753906,130.2100067138672,130.0152130126953,78973300,AAPL
2021-05-10,129.41000366210938,129.5399932861328,126.80999755859376,126.8499984741211,126.66022491455078,88071200,AAPL
2021-05-11,123.5,126.2699966430664,122.7699966430664,125.91000366210938,125.72164154052734,126142800,AAPL
2021-05-12,123.4000015258789,124.63999938964844,122.25,122.7699966430664,122.58633422851562,112172300,AAPL
2021-05-13,124.58000183105467,126.1500015258789,124.26000213623048,124.97000122070312,124.78304290771484,105861300,AAPL
2021-05-14,126.25,127.88999938964844,125.8499984741211,127.4499969482422,127.25933074951172,81918000,AAPL
2021-05-17,126.81999969482422,126.93000030517578,125.16999816894533,126.2699966430664,126.08109283447266,74244600,AAPL
2021-05-18,126.55999755859376,126.98999786376952,124.77999877929688,124.8499984741211,124.66322326660156,63342900,AAPL
2021-05-19,123.16000366210938,124.91999816894533,122.86000061035156,124.69000244140624,124.5034637451172,92612000,AAPL
2021-05-20,125.2300033569336,127.72000122070312,125.0999984741211,127.30999755859376,127.11953735351562,76857100,AAPL
2021-05-21,127.81999969482422,128.0,125.20999908447266,125.43000030517578,125.24235534667967,79295400,AAPL
2021-05-24,126.01000213623048,127.94000244140624,125.94000244140624,127.0999984741211,126.90985107421876,63092900,AAPL
2021-05-25,127.81999969482422,128.32000732421875,126.31999969482422,126.9000015258789,126.7101593017578,72009500,AAPL
2021-05-26,126.95999908447266,127.38999938964844,126.41999816894533,126.8499984741211,126.66022491455078,56575900,AAPL
2021-05-27,126.44000244140624,127.63999938964844,125.08000183105467,125.27999877929688,125.0925750732422,94625600,AAPL
2021-05-28,125.56999969482422,125.8000030517578,124.5500030517578,124.61000061035156,124.423583984375,71311100,AAPL
2021-06-01,125.08000183105467,125.3499984741211,123.94000244140624,124.27999877929688,124.09407043457033,67637100,AAPL
2021-06-02,124.27999877929688,125.23999786376952,124.0500030517578,125.05999755859376,124.8729019165039,59278900,AAPL
2021-06-03,124.68000030517578,124.8499984741211,123.12999725341795,123.54000091552734,123.35518646240234,76229200,AAPL
2021-06-04,124.06999969482422,126.16000366210938,123.8499984741211,125.88999938964844,125.70166778564452,75169300,AAPL
2021-06-07,126.16999816894533,126.31999969482422,124.83000183105467,125.9000015258789,125.71165466308594,71057600,AAPL
2021-06-08,126.5999984741211,128.4600067138672,126.20999908447266,126.73999786376952,126.5503921508789,74403800,AAPL
2021-06-09,127.20999908447266,127.75,126.5199966430664,127.12999725341795,126.93981170654295,56877900,AAPL
2021-06-10,127.0199966430664,128.19000244140625,125.94000244140624,126.11000061035156,125.9213409423828,71186400,AAPL
2021-06-11,126.52999877929688,127.44000244140624,126.0999984741211,127.3499984741211,127.15947723388672,53522400,AAPL
2021-06-14,127.81999969482422,130.5399932861328,127.06999969482422,130.47999572753906,130.2847900390625,96906500,AAPL
2021-06-15,129.94000244140625,130.60000610351562,129.38999938964844,129.63999938964844,129.44606018066406,62746300,AAPL
2021-06-16,130.3699951171875,130.88999938964844,128.4600067138672,130.14999389648438,129.95529174804688,91815000,AAPL
2021-06-17,129.8000030517578,132.5500030517578,129.64999389648438,131.7899932861328,131.59283447265625,96721700,AAPL
2021-06-18,130.7100067138672,131.50999450683594,130.24000549316406,130.4600067138672,130.26483154296875,108953300,AAPL
2021-06-21,130.3000030517578,132.41000366210938,129.2100067138672,132.3000030517578,132.10208129882812,79663300,AAPL
2021-06-22,132.1300048828125,134.0800018310547,131.6199951171875,133.97999572753906,133.77955627441406,74783600,AAPL
2021-06-23,133.77000427246094,134.32000732421875,133.22999572753906,133.6999969482422,133.49998474121094,60214200,AAPL
2021-06-24,134.4499969482422,134.63999938964844,132.92999267578125,133.41000366210938,133.21041870117188,68711000,AAPL
2021-06-25,133.4600067138672,133.88999938964844,132.80999755859375,133.11000061035156,132.91087341308594,70783700,AAPL
2021-06-28,133.41000366210938,135.25,133.35000610351562,134.77999877929688,134.578369140625,62111300,AAPL
2021-06-29,134.8000030517578,136.49000549316406,134.35000610351562,136.3300018310547,136.1260528564453,64556100,AAPL
